total_lines_cleared,max_score,decision_latency,game_duration,apm
111,11100,7.174164249051001,0.037324134508768717,36089.24942877225
86,8600,7.322218736656281,0.030363667011260986,34943.07850255723
91,9100,7.173044928188982,0.03141794204711914,36062.19650863129
23,2300,7.306549284193251,0.011035430431365966,33347.136053165166
33,3300,7.2148975573088,0.013804181416829427,36583.1181691315
86,8600,7.363307813883793,0.03053601582845052,34745.8557121739
41,4100,7.314683799456833,0.01633896032969157,33967.889559743904
76,7600,7.211491069962493,0.027363053957621255,36655.265218327026
197,19700,7.1849589347839355,0.06030138333638509,36499.991844663775
152,15200,7.374506865816163,0.05027679204940796,35404.009035635376
194,19400,7.2378668785095215,0.06075177192687988,35982.48957464226
63,6300,7.871230443318685,0.024994122982025146,32567.656027995017
89,8900,7.710684859563434,0.032651082674662275,33322.019084050284
96,9600,7.688948656103425,0.03474363088607788,34538.70448758572
49,4900,7.485215480511005,0.01960806449254354,34118.61483087248
175,17500,7.257430800423814,0.057640274365743004,36120.5775459907
76,7600,7.434266858396277,0.028219648202260337,35542.61175799002
59,5900,7.204539358279126,0.02140430212020874,35553.60019336984
191,19100,7.345879554748535,0.06168162027994792,36104.75843359088
115,11500,7.199556669602258,0.03831519683202108,36069.23921228624
35,3500,7.231481804335413,0.014688889185587565,33971.25498704208
135,13500,7.1693207766558675,0.044539074103037514,36395.00893642173
86,8600,7.292726261895678,0.03023929993311564,35086.79110782186
61,6100,7.131091968433277,0.022143741448720295,37166.257649181585
197,19700,7.379105091094971,0.06195648511250814,35767.03868813599
89,8900,7.078956043909466,0.02994050979614258,36338.72660846188
74,7400,7.178742386573969,0.02590498129526774,35746.020792115356
63,6300,7.1049897128312045,0.022534294923146566,36122.718850363635
61,6100,6.954578538015099,0.022525946299235027,38755.30858517792
167,16700,7.274687688440947,0.05483886003494263,36105.78335761117
57,5700,7.189455297258165,0.02172547181447347,37651.65640522706
125,12500,7.217338518038264,0.04205482403437297,35953.06923087317
36,3600,7.157058012290079,0.014656110604604086,35207.15788252193
194,19400,7.226684093475342,0.06065662701924642,36038.931068593374
22,2200,6.8076369688682945,0.011076112588246664,38190.29435010108
